Timestamp,CAN_ID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,Flag
1513701626.2325246,0316,8,254,240,226,150,151,38,86,37,R
1513703160.9632192,0316,8,168,23,70,64,167,7,160,34,R
1513701771.3354268,0316,8,83,8,124,45,132,222,17,171,R
1513701540.6308126,02A0,8,191,156,119,182,11,83,21,237,R
1513704823.396468,0316,8,200,249,236,204,240,232,248,245,T
1513702104.542091,0260,8,142,50,25,115,190,6,93,122,R
1513702033.140663,0260,8,61,188,224,142,221,74,179,63,R
1513701281.6256325,0316,8,193,102,107,241,69,161,45,47,R
1513704989.399788,0316,8,236,251,200,230,236,246,221,217,T
1513704755.795116,0000,8,0,0,0,0,0,0,0,0,T
1513704550.9910197,0316,8,234,237,213,219,253,235,208,241,T
1513702973.3594673,0260,8,241,164,224,30,179,240,57,111,R
1513702253.8450768,0329,8,57,17,187,17,219,175,33,199,R
1513702156.243125,0329,8,49,168,122,31,64,121,65,112,R
1513702141.042821,018F,8,144,42,124,238,164,115,146,76,R
1513702502.250045,0316,8,122,142,24,30,59,171,49,233,R
1513702520.250405,0316,8,248,113,254,59,198,134,207,112,R
1513701020.8204165,0329,8,158,131,133,177,84,204,37,78,R
1513701209.0241804,018F,8,238,0,159,28,147,45,76,184,R
1513702812.7562551,0316,8,85,43,127,184,36,233,67,8,R
1513700307.50615,02A0,8,117,13,138,210,86,161,187,103,R
1513704614.792296,0000,8,0,0,0,0,0,0,0,0,T
1513704568.9913797,0000,8,0,0,0,0,0,0,0,0,T
1513700875.3175063,018F,8,40,64,121,243,244,143,185,34,R
1513700155.9031181,018F,8,72,130,251,114,217,136,105,178,R
1513703550.5710113,0316,8,69,146,213,132,60,32,239,175,R
1513703396.1679235,02A0,8,132,172,114,0,184,188,44,137,R
1513701534.4306886,0260,8,182,43,77,75,107,130,6,84,R
1513702468.649373,0316,8,24,78,227,231,21,10,25,124,R
1513701368.1273625,02A0,8,144,208,225,119,175,18,85,166,R
1513701120.6224124,0260,8,85,110,147,63,211,218,154,134,R
1513704854.9970999,09C0,8,117,7,120,22,231,143,230,223,T
1513702072.1414428,0260,8,150,209,97,89,49,188,130,102,R
1513700893.6178725,0316,8,78,136,75,199,251,129,48,47,R
1513702622.0524411,018F,8,20,191,157,234,137,24,231,101,R
1513700604.8120964,0329,8,214,235,43,143,198,205,149,200,R
1513700740.9148183,018F,8,149,58,151,25,60,135,11,13,R
1513703652.2730455,018F,8,36,119,159,33,63,100,54,162,R
1513703474.9694993,0316,8,158,239,164,136,9,237,187,128,R
1513701932.9386587,018F,8,251,234,0,26,146,226,89,123,R
1513703148.2629652,02A0,8,152,136,94,60,29,119,144,59,R
1513700369.0073802,02A0,8,247,18,103,133,131,157,102,94,R
1513704587.6917539,0000,8,0,0,0,0,0,0,0,0,T
1513702878.757575,0329,8,18,5,3,9,134,129,125,129,R
1513701948.3389668,0316,8,117,166,19,38,197,197,76,162,R
1513704928.2985659,0316,8,211,222,246,235,207,221,202,204,T
1513704706.99414,0316,8,207,242,243,252,200,249,232,246,T
1513701073.9214785,0329,8,4,27,86,47,95,196,253,98,R
1513701122.0224404,0260,8,228,229,95,217,3,192,118,254,R
1513700244.4048882,0260,8,135,238,137,253,4,115,175,116,R
1513703838.1767635,0329,8,56,110,47,214,47,210,25,93,R
1513700523.6104722,0316,8,94,54,5,166,8,233,31,163,R
1513704689.7937958,0000,8,0,0,0,0,0,0,0,0,T
1513704836.396728,0471,8,164,76,37,24,179,120,143,219,T
1513700382.307646,018F,8,237,231,69,91,2,222,207,80,R
1513703289.1657834,0260,8,228,194,137,180,72,16,57,136,R
1513703926.5785315,0329,8,105,229,208,241,64,64,236,127,R
1513702327.846557,018F,8,230,63,110,52,168,107,198,172,R
1513702069.4413888,0260,8,173,125,43,203,228,9,226,135,R
1513702008.9401789,02A0,8,177,87,48,170,144,198,239,208,R
1513703155.9631193,0316,8,145,164,60,58,133,1,232,117,R
1513701265.5253105,0329,8,230,134,169,117,59,89,147,190,R
1513704533.7906759,0D17,8,135,50,172,128,130,75,43,234,T
1513702883.157663,0329,8,68,33,60,25,241,62,171,225,R
1513701913.3382668,0316,8,145,140,216,204,99,253,144,118,R
1513700110.602212,0316,8,86,200,80,252,65,18,210,247,R
1513701916.4383287,0260,8,13,98,236,104,250,82,138,97,R
1513702168.3433669,0260,8,156,207,32,226,214,209,38,164,R
1513703478.2695653,0329,8,58,196,230,152,146,231,94,129,R
1513702693.753875,0329,8,206,246,114,248,17,53,150,16,R
1513704930.098602,0316,8,244,220,225,249,224,221,201,239,T
1513704590.691814,0000,8,0,0,0,0,0,0,0,0,T
1513701597.3319466,0329,8,58,206,109,116,10,12,61,219,R
1513703495.8699174,0260,8,177,241,112,138,235,69,8,71,R
1513701495.6299126,018F,8,150,251,117,137,107,199,163,198,R
1513702754.255085,0316,8,221,242,173,169,69,187,160,26,R
1513703824.2764854,0316,8,179,194,33,238,206,110,172,88,R
1513703743.2748654,0260,8,247,88,68,20,46,11,137,236,R
1513700751.7150342,02A0,8,135,105,177,49,82,253,195,26,R
1513704892.2978458,0316,8,226,214,209,236,222,202,205,236,T
1513702763.1552632,018F,8,51,132,205,244,197,38,162,51,R
1513704390.1878037,0000,8,0,0,0,0,0,0,0,0,T
1513702745.6549132,0260,8,40,68,131,29,154,161,69,174,R
1513700481.1096222,0316,8,127,41,28,211,219,154,43,220,R
1513703530.8706174,0329,8,254,163,172,23,157,106,6,186,R
1513702193.3438668,0260,8,169,250,191,91,6,129,173,31,R
1513704194.1838837,0316,8,231,216,241,223,201,250,235,207,T
1513703032.7606552,0316,8,242,240,171,55,47,16,103,202,R
1513701356.2271245,0329,8,17,157,201,18,175,8,212,0,R
1513702376.147523,0260,8,188,1,12,182,32,34,132,56,R
1513702682.953659,018F,8,46,39,251,205,240,188,208,71,R
1513704439.188784,0316,8,253,211,204,238,224,229,204,216,T
1513702754.5550911,0316,8,62,201,12,86,65,173,131,0,R
1513701791.9358387,0329,8,18,225,232,106,166,126,191,94,R
1513702834.6566932,0329,8,74,186,0,84,247,242,96,82,R
1513702366.647333,02A0,8,63,205,115,194,70,122,189,52,R
1513700999.7199943,0329,8,180,141,201,28,155,117,116,144,R
1513703127.7625554,0260,8,38,86,118,215,69,43,17,211,R
1513702801.8560371,0260,8,242,122,62,132,69,159,186,197,R
1513701263.9252784,02A0,8,55,30,29,23,95,157,120,153,R
1513704514.4902897,0000,8,0,0,0,0,0,0,0,0,T
1513702221.3444269,0329,8,153,86,177,7,150,202,222,146,R
1513704629.5925918,0000,8,0,0,0,0,0,0,0,0,T
1513704044.7808957,0316,8,221,228,200,208,214,254,242,219,T
1513703504.9700994,018F,8,59,52,19,220,225,155,254,22,R
1513701017.8203564,0316,8,71,179,228,162,147,80,44,76,R
1513700075.0015001,0329,8,189,51,88,126,168,30,253,212,R
1513700700.7140143,02A0,8,45,140,61,18,139,111,89,47,R
1513703655.8731174,02A0,8,61,227,155,157,188,103,147,219,R
1513700822.2164443,018F,8,151,76,167,27,109,194,227,202,R
1513701575.6315126,0316,8,217,21,29,89,0,69,80,222,R
1513703929.8785975,018F,8,113,156,55,91,171,208,216,235,R
1513700028.00056,018F,8,163,5,38,169,242,114,185,245,R
1513704999.899998,0316,8,229,231,252,232,220,231,237,254,T
1513702128.0425608,02A0,8,152,219,54,143,91,147,125,54,R
1513701533.1306627,0329,8,113,156,219,149,30,208,127,16,R
1513703493.7698753,018F,8,158,246,39,209,123,65,254,35,R
1513700941.1188223,02A0,8,202,158,182,179,201,65,45,107,R
1513704073.7814755,0886,8,43,165,174,109,247,44,237,84,T
1513701012.9202585,02A0,8,201,49,148,155,219,182,154,96,R
1513700935.4187083,0329,8,250,19,145,3,138,254,244,191,R
1513702823.956479,0316,8,124,249,250,15,236,62,166,27,R
1513704428.6885738,0000,8,0,0,0,0,0,0,0,0,T
1513701494.1298826,02A0,8,42,209,24,241,86,229,145,178,R
1513701927.0385408,0260,8,118,51,110,128,159,120,71,18,R
1513701133.2226644,0329,8,253,17,119,248,162,175,36,40,R
1513704065.1813037,0FD5,8,180,70,26,117,222,27,32,72,T
1513704021.3804276,0AD0,8,225,43,83,11,144,115,115,96,T
1513700815.5163102,0260,8,78,120,180,138,133,46,6,114,R
1513704305.9861197,0316,8,239,201,250,219,233,240,223,251,T
1513702432.3486469,0329,8,61,146,35,25,17,205,68,36,R
1513704811.796236,0316,8,205,227,205,250,219,228,220,243,T
1513704841.896838,0000,8,0,0,0,0,0,0,0,0,T
1513701127.3225465,018F,8,159,87,195,233,96,17,110,208,R
1513700212.00424,02A0,8,160,28,113,78,22,105,130,100,R
1513700588.7117743,0329,8,39,145,178,60,121,238,105,22,R
1513704153.4830697,0000,8,0,0,0,0,0,0,0,0,T
1513701379.8275967,0316,8,32,2,38,95,232,163,244,167,R
1513703152.8630574,02A0,8,210,15,223,248,137,47,130,148,R
1513701358.1271625,0260,8,67,33,6,181,218,194,96,139,R
1513702305.9461188,02A0,8,112,152,122,91,224,124,30,136,R
1513701693.1338627,0260,8,102,216,88,53,184,135,169,226,R
1513700797.4159484,018F,8,213,44,127,205,88,81,211,118,R
1513702215.344307,0329,8,103,253,20,160,186,59,154,116,R
1513704791.195824,0316,8,249,233,239,250,216,207,205,252,T
1513703059.0611813,02A0,8,91,170,163,62,105,51,88,232,R
1513703666.2733254,0316,8,75,186,251,126,121,235,12,146,R
1513704030.8806176,0948,8,232,103,75,215,141,32,138,79,T
1513703740.3748076,0260,8,175,174,57,220,8,62,88,56,R
1513702740.3548071,02A0,8,231,90,151,33,174,111,117,8,R
1513701246.7249346,0316,8,217,68,212,136,47,11,192,112,R
1513704946.598932,07BA,8,113,170,69,98,102,81,85,29,T
1513703736.8747375,0329,8,53,199,118,198,121,36,59,5,R
1513704219.1843836,0D5F,8,154,230,8,186,190,233,65,177,T
1513701896.7379348,0316,8,119,95,105,102,175,102,140,99,R
1513702046.5409307,018F,8,223,40,102,29,124,23,100,139,R
1513704328.8865778,0316,8,213,207,211,226,249,243,211,208,T
1513702610.152203,018F,8,231,253,243,135,241,155,26,52,R
1513700702.1140423,0329,8,235,99,63,57,210,137,10,134,R
1513700000.900018,02A0,8,1,253,133,53,105,3,53,220,R
1513701652.0330408,0316,8,74,232,160,236,32,90,145,138,R
1513704163.7832756,0316,8,216,206,213,218,233,221,241,236,T
1513700495.0099,0316,8,254,20,254,7,166,164,28,210,R
1513700182.0036402,0329,8,45,136,144,46,212,222,230,58,R
1513702216.1443229,018F,8,232,117,165,203,117,39,74,49,R
1513703033.4606693,0329,8,198,89,5,44,61,221,84,18,R
1513700503.1100621,02A0,8,234,105,143,75,85,226,106,190,R
1513702884.557691,0329,8,4,0,233,223,16,132,107,33,R
1513704174.0834818,0316,8,205,243,205,223,226,218,228,204,T
1513702266.545331,0329,8,229,253,190,218,1,133,226,72,R
1513703162.3632472,0316,8,244,34,218,226,167,66,167,15,R
1513702798.855977,0329,8,151,115,29,42,61,231,54,20,R
1513702478.449569,0329,8,37,96,147,152,104,172,18,85,R
1513700249.304986,018F,8,17,47,136,0,234,136,150,106,R
1513704569.9913998,0750,8,140,139,129,187,134,175,5,228,T
1513703970.9794195,0316,8,193,24,75,139,30,38,106,54,R
1513701253.1250625,018F,8,41,245,185,106,40,8,107,225,R
1513703253.2650652,018F,8,65,88,51,235,111,134,56,194,R
1513704215.2843056,0FB7,8,26,112,91,199,19,95,35,36,T
1513701332.2266445,0260,8,127,206,188,24,60,137,79,131,R
1513700850.5170105,018F,8,115,174,220,167,127,232,4,69,R
1513702200.144003,0260,8,122,186,46,193,224,0,87,179,R
1513702569.951399,018F,8,2,214,208,41,162,51,44,114,R
1513704743.7948759,0316,8,209,216,236,206,227,221,200,209,T
1513703447.8689573,0329,8,230,137,246,160,52,28,46,97,R
1513702215.0443008,0329,8,232,55,118,82,238,40,248,142,R
1513703598.1719635,0316,8,123,139,20,227,165,139,157,174,R
1513704290.8858178,0000,8,0,0,0,0,0,0,0,0,T
1513703423.7684753,0329,8,226,206,234,63,22,120,33,81,R
1513700265.105302,0316,8,126,225,170,70,16,186,2,28,R
1513700011.600232,02A0,8,225,37,49,97,81,29,78,90,R
1513702979.0595813,018F,8,139,137,20,122,137,56,242,17,R
1513701357.4271486,02A0,8,100,93,172,156,141,135,45,154,R
1513703420.1684034,0329,8,48,46,184,117,63,57,54,214,R
1513702674.353487,02A0,8,108,186,41,101,123,115,202,145,R
1513700463.809276,02A0,8,185,244,172,149,76,230,74,209,R
1513700591.2118242,0329,8,132,249,49,189,182,25,242,137,R
1513703566.2713253,0260,8,62,194,203,159,247,99,142,211,R
1513703857.5771515,018F,8,205,240,62,72,44,83,196,105,R
1513701068.5213704,0316,8,80,153,17,171,134,235,34,11,R
1513701886.1377227,0329,8,170,116,145,248,168,210,106,241,R
1513703788.5757716,0329,8,194,143,80,46,83,80,202,108,R
1513700443.3088663,0329,8,168,17,229,110,94,15,103,178,R
1513700559.4111881,0316,8,141,228,181,1,87,206,47,178,R
1513700891.6178324,0316,8,157,81,34,249,52,166,111,21,R
1513701441.8288367,0260,8,46,193,67,175,203,79,88,150,R
1513702993.5598712,02A0,8,156,6,50,201,14,63,160,219,R
1513702962.159243,0329,8,175,55,190,123,218,93,194,43,R
1513704579.4915898,0316,8,214,254,201,240,253,200,247,254,T
1513700267.6053522,0260,8,80,106,240,201,241,54,155,229,R
1513700622.8124561,0260,8,149,120,10,71,90,252,28,118,R
1513702432.748655,0260,8,41,77,191,134,251,201,254,75,R
1513700969.2193844,0260,8,80,54,60,199,100,151,195,215,R
1513704983.49967,0BD7,8,24,27,0,63,32,239,108,199,T
1513704172.8834577,0000,8,0,0,0,0,0,0,0,0,T
1513703350.6670134,0316,8,153,34,233,57,111,40,211,112,R
1513703773.3754675,018F,8,189,163,49,243,85,143,218,122,R
1513704345.5869117,0000,8,0,0,0,0,0,0,0,0,T
1513702955.459109,0329,8,113,228,248,229,29,243,88,16,R
1513701262.2252445,02A0,8,250,78,123,88,172,81,20,174,R
1513704438.2887657,0CA6,8,233,195,247,40,229,219,129,99,T
1513701111.5222304,0316,8,56,162,179,224,178,16,204,51,R
1513700939.7187943,0260,8,40,25,195,193,18,86,24,46,R
1513701931.5386307,018F,8,74,177,59,198,46,56,83,149,R
1513701105.6221125,0316,8,219,27,159,166,215,245,198,190,R
1513700134.00268,018F,8,10,101,69,122,232,189,174,33,R
1513702457.049141,0316,8,188,171,126,188,229,226,174,205,R
1513703991.3798275,02A0,8,49,1,138,38,174,192,32,211,R
1513704408.3881679,0316,8,246,205,204,204,217,201,249,246,T
1513702480.349607,018F,8,133,218,156,187,232,202,9,230,R
1513701408.8281765,018F,8,48,80,101,108,23,126,106,82,R
1513704985.199704,0000,8,0,0,0,0,0,0,0,0,T
1513703994.6798935,018F,8,28,96,31,239,195,11,79,158,R
1513703712.3742476,018F,8,159,200,178,4,181,42,8,219,R
1513700254.4050882,02A0,8,216,139,208,244,206,73,226,118,R
1513700205.0041,0316,8,219,185,202,32,87,193,157,208,R
1513701677.9335587,02A0,8,16,105,11,124,94,242,124,62,R
1513704903.398068,0FA6,8,144,108,84,62,83,88,195,157,T
1513700894.9178984,018F,8,148,213,160,43,24,94,240,207,R
1513703920.1784036,018F,8,51,96,161,142,223,168,119,65,R
1513704448.2889657,0000,8,0,0,0,0,0,0,0,0,T
1513703428.4685693,02A0,8,201,28,125,116,149,141,161,250,R
1513703642.3728476,02A0,8,150,60,21,67,205,188,92,74,R
1513702298.745975,0329,8,78,107,244,147,166,160,16,45,R
1513702729.654593,02A0,8,141,61,141,104,33,127,187,231,R
1513704201.2840257,0000,8,0,0,0,0,0,0,0,0,T
1513704235.3847077,0316,8,253,243,203,233,244,228,238,230,T
1513704525.6905138,0316,8,223,230,254,237,234,212,239,213,T
1513704484.7896957,0000,8,0,0,0,0,0,0,0,0,T
1513702285.445709,02A0,8,59,27,102,253,248,25,154,244,R
1513701178.1235626,0260,8,2,201,190,139,206,110,90,249,R
1513704330.0866017,0316,8,254,245,246,210,214,205,210,233,T
1513701511.4302287,018F,8,50,230,26,200,109,65,233,61,R
1513703709.1741834,02A0,8,126,14,185,120,166,156,171,238,R
1513704362.1872437,0DB9,8,79,202,77,76,224,36,21,101,T
1513704735.5947118,068B,8,186,45,37,172,31,25,68,53,T
1513701106.7221344,02A0,8,172,212,247,53,208,180,222,171,R
1513701381.3276265,018F,8,91,44,177,123,114,91,135,110,R
1513703069.2613852,0260,8,129,191,57,19,68,17,203,48,R
1513700358.1071622,0260,8,177,113,73,80,93,140,29,184,R
1513703622.3724475,02A0,8,108,177,244,153,160,131,75,71,R
1513701244.0248804,018F,8,140,199,151,68,134,50,53,178,R
1513702693.253865,0260,8,247,93,49,209,44,44,174,155,R
1513701449.6289926,02A0,8,33,72,168,246,97,162,184,119,R
1513702782.855657,018F,8,112,195,91,22,130,218,121,101,R
1513702973.6594732,018F,8,219,232,91,111,132,136,216,124,R
1513704095.6819136,0000,8,0,0,0,0,0,0,0,0,T
1513701724.9344988,0260,8,241,209,105,113,226,91,211,149,R
1513704024.3804877,0000,8,0,0,0,0,0,0,0,0,T
1513700970.3194063,0260,8,246,162,66,131,23,93,95,112,R
1513702360.247205,0260,8,6,193,181,106,218,143,32,46,R
1513701978.3395667,0260,8,223,96,224,65,213,184,11,123,R
1513704264.9852996,0316,8,226,252,231,231,221,225,226,252,T
1513704406.4881299,0C10,8,149,219,129,236,79,121,23,216,T
1513702688.253765,0329,8,204,178,200,115,69,147,22,58,R
1513701338.0267606,0316,8,4,167,144,52,220,107,82,103,R
1513701641.9328387,02A0,8,54,234,120,15,2,169,1,187,R
1513704950.399008,0000,8,0,0,0,0,0,0,0,0,T
1513700975.9195185,02A0,8,229,239,186,77,208,14,45,6,R
1513700405.8081162,0260,8,48,180,247,26,30,171,31,243,R
1513702283.845677,0329,8,109,244,216,14,235,118,206,14,R
1513700722.1144423,0329,8,54,216,248,98,55,28,229,108,R
1513702002.9400587,0329,8,192,117,59,6,131,155,18,133,R
1513700862.4172482,018F,8,45,71,50,24,81,142,57,186,R
1513700211.3042262,02A0,8,34,50,46,35,63,94,216,104,R
1513702857.3571472,0329,8,133,166,99,194,70,119,85,93,R
1513702787.7557552,02A0,8,232,230,37,118,131,25,79,218,R
1513704452.0890417,01BC,8,108,177,33,24,47,196,120,40,T
1513704694.4938898,0316,8,213,218,231,230,236,235,226,249,T
1513700928.3185663,018F,8,254,154,53,238,87,187,167,172,R
1513701259.6251924,0329,8,225,166,62,238,249,184,246,39,R
1513700663.3132663,018F,8,67,249,97,6,46,176,205,42,R
1513704757.795156,0D06,8,132,75,218,206,157,151,218,184,T
1513703256.0651214,0316,8,133,196,232,218,225,0,229,182,R
1513700824.5164902,0316,8,148,226,20,50,78,227,58,248,R
1513703026.0605211,0329,8,34,249,182,200,229,52,71,131,R
1513700132.802656,0316,8,78,72,166,169,175,139,95,88,R
1513701043.0208604,0329,8,96,102,178,196,39,228,250,196,R
1513704651.7930357,0000,8,0,0,0,0,0,0,0,0,T
1513700936.4187284,0316,8,132,179,115,102,225,52,118,2,R
1513700665.6133122,02A0,8,59,9,141,101,62,228,174,196,R
1513704062.0812416,00A1,8,98,149,98,87,171,5,106,192,T
1513702785.3557072,0329,8,2,221,235,160,89,130,29,79,R
1513703790.6758134,0329,8,242,24,173,249,120,219,147,114,R
1513701748.4349687,02A0,8,87,89,71,98,79,70,16,50,R
1513700352.00704,02A0,8,233,216,192,114,246,111,206,95,R
1513701065.9213185,0260,8,82,239,122,164,63,186,96,68,R
1513703456.3691273,0260,8,135,209,148,204,166,192,95,207,R
1513702524.850497,018F,8,182,88,42,83,109,176,145,160,R
1513703050.6610131,018F,8,241,124,242,254,76,196,203,176,R
1513702029.6405928,0329,8,31,61,33,186,233,68,89,131,R
1513702281.445629,018F,8,185,0,234,147,242,74,31,12,R
1513702671.653433,0316,8,185,92,53,24,231,25,109,72,R
1513703133.7626753,018F,8,229,1,97,225,144,187,95,0,R
1513704749.094982,06EA,8,22,65,132,170,28,199,210,192,T
1513700059.701194,018F,8,39,132,148,205,131,22,105,83,R
1513702429.9485989,02A0,8,146,160,102,137,139,174,230,119,R
1513702656.253125,018F,8,153,154,254,28,173,223,113,126,R
1513700479.3095863,0260,8,90,210,73,43,173,133,116,23,R
1513702576.6515331,0329,8,109,253,43,134,70,227,47,91,R
1513704154.3830876,0566,8,222,80,194,45,119,232,185,35,T
1513701239.9247985,0316,8,170,168,154,91,155,4,170,190,R
1513703654.7730954,018F,8,130,99,190,219,109,207,178,41,R
1513703344.8668973,018F,8,216,117,35,243,208,49,139,135,R
1513704804.2960858,0000,8,0,0,0,0,0,0,0,0,T
1513703006.3601272,02A0,8,23,221,218,239,149,93,133,125,R
1513703808.0761616,0260,8,230,118,234,249,237,207,105,39,R
1513701476.9295385,018F,8,94,209,144,47,51,95,187,166,R
1513704371.2874258,07BE,8,214,234,183,130,52,27,156,2,T
1513704681.1936238,0000,8,0,0,0,0,0,0,0,0,T
1513701517.4303486,0316,8,103,44,230,84,185,94,193,242,R
1513700554.6110923,02A0,8,240,4,159,45,16,74,26,195,R
1513704313.5862718,0316,8,252,243,214,211,211,226,203,203,T
1513702922.7584553,0329,8,148,52,125,30,54,110,194,115,R
1513701593.6318727,02A0,8,120,219,118,4,18,71,235,36,R
1513704990.799816,0316,8,250,235,221,204,238,204,227,233,T
1513701377.1275425,02A0,8,239,10,0,176,43,68,141,6,R
1513700746.6149323,0316,8,81,71,50,51,11,80,94,114,R
1513702910.058201,0329,8,215,31,110,116,206,112,115,102,R
1513702792.8558571,018F,8,250,246,193,184,131,16,195,230,R
1513701404.4280887,018F,8,19,228,0,22,37,19,3,242,R
1513702701.454029,0329,8,9,252,237,84,15,37,31,131,R
1513701874.3374867,0316,8,27,48,63,0,35,22,183,141,R
1513700996.5199304,018F,8,140,9,250,229,217,30,214,49,R
1513701713.1342628,02A0,8,34,223,180,76,227,192,32,180,R
1513703316.3663273,0316,8,39,87,61,168,221,136,103,169,R
1513704067.7813556,0000,8,0,0,0,0,0,0,0,0,T
1513702626.8525372,018F,8,54,145,105,49,186,14,98,131,R
1513701730.3346066,0329,8,161,41,8,107,13,238,96,239,R
1513701899.8379967,0316,8,172,107,49,32,205,74,25,115,R
1513703551.0710213,0329,8,119,204,73,125,58,77,68,41,R
1513702773.855477,0260,8,244,231,154,113,46,222,26,216,R
1513704054.7810955,0000,8,0,0,0,0,0,0,0,0,T
1513702553.151063,0329,8,215,3,200,245,17,150,94,156,R
1513704068.9813795,0541,8,184,72,158,101,80,14,212,61,T
1513702571.551431,0260,8,34,72,46,100,122,52,136,78,R
1513700690.7138143,02A0,8,218,23,224,253,244,206,170,31,R
1513702237.644753,0316,8,108,236,240,221,44,120,254,74,R
1513701529.7305946,0260,8,201,171,161,120,11,92,38,146,R
1513700534.5106902,0260,8,175,192,196,204,44,130,16,210,R
1513703510.3702073,0260,8,109,99,22,65,242,126,135,241,R
1513704166.5833316,0A1E,8,165,244,13,227,138,23,142,138,T
1513703614.0722814,0329,8,210,33,176,27,98,141,197,238,R
1513700041.50083,0260,8,182,219,13,119,137,79,143,181,R
1513700974.3194864,02A0,8,251,180,165,254,34,161,237,177,R
1513701796.2359247,0260,8,29,83,105,4,232,68,117,237,R
1513703165.2633052,0260,8,31,134,31,132,71,77,137,27,R
1513702281.545631,02A0,8,114,137,129,4,123,70,125,224,R
1513704303.3860676,082E,8,94,57,240,63,14,52,48,71,T
1513704927.598552,0000,8,0,0,0,0,0,0,0,0,T
1513704920.898418,0FAE,8,52,149,55,138,109,162,190,5,T
1513700036.600732,02A0,8,156,165,41,20,41,140,112,104,R
1513704813.2962658,0316,8,242,205,245,207,247,211,241,210,T
1513701309.3261864,0316,8,178,23,225,72,60,1,108,88,R
1513702695.353907,0316,8,208,49,20,20,122,45,144,146,R
1513703838.3767676,0260,8,181,123,47,92,216,190,100,147,R
1513702415.948319,02A0,8,15,65,212,193,151,23,60,237,R
1513704025.0805016,0000,8,0,0,0,0,0,0,0,0,T
1513703416.2683253,0329,8,165,134,211,14,3,67,231,110,R
1513704488.2897658,0316,8,237,221,219,207,206,244,206,227,T
1513704551.0910218,0000,8,0,0,0,0,0,0,0,0,T
1513701946.7389348,0260,8,20,41,69,22,184,118,52,253,R
1513704008.1801636,0316,8,247,225,215,218,238,234,253,239,T
1513703202.0640414,0260,8,27,87,10,58,236,64,217,78,R
1513700926.2185245,02A0,8,140,11,138,46,59,48,51,60,R
1513700723.1144624,0329,8,95,89,125,12,156,198,174,153,R
1513704637.092742,0837,8,110,126,132,195,165,42,86,35,T
1513702185.443709,0316,8,243,101,66,37,201,172,224,143,R
1513702286.445729,0316,8,135,201,219,32,26,129,56,99,R
1513702328.1465628,018F,8,130,91,103,34,106,210,217,85,R
1513701736.4347286,0260,8,220,46,14,94,203,148,47,207,R
1513701617.8323567,018F,8,239,243,97,138,77,209,9,22,R
1513702930.1586032,02A0,8,235,181,60,76,109,139,26,22,R
1513704512.8902578,0647,8,216,94,74,50,238,99,125,28,T
1513701980.8396168,02A0,8,52,60,167,195,215,14,215,12,R
1513703116.8623374,018F,8,7,122,243,159,54,102,225,112,R
